# Ignition 8.3 Gateway-scope native scripting function catalog.
# Source: https://www.docs.inductiveautomation.com/docs/8.3/appendix/scripting-functions
# Target: Gateway-scope scripts such as MCP onToolCalled handlers.
# Format: function<TAB>classification<TAB>required_module_ids(comma-separated or -)<TAB>notes
# classification: platform | module | conditional
system.alarm.acknowledge	platform	-	
system.alarm.cancel	platform	-	
system.alarm.createRoster	module	com.inductiveautomation.alarm-notification	
system.alarm.getRosters	module	com.inductiveautomation.alarm-notification	
system.alarm.getShelvedPaths	platform	-	
system.alarm.listPipelines	module	com.inductiveautomation.alarm-notification	
system.alarm.queryJournal	platform	-	
system.alarm.queryStatus	platform	-	
system.alarm.shelve	platform	-	
system.alarm.unshelve	platform	-	
system.bacnet.readRaw	module	com.inductiveautomation.opcua.drivers.bacnet,com.inductiveautomation.opcua	
system.bacnet.readRawMultiple	module	com.inductiveautomation.opcua.drivers.bacnet,com.inductiveautomation.opcua	
system.bacnet.synchronizeTime	module	com.inductiveautomation.opcua.drivers.bacnet,com.inductiveautomation.opcua	
system.bacnet.synchronizeTimeUtc	module	com.inductiveautomation.opcua.drivers.bacnet,com.inductiveautomation.opcua	
system.bacnet.writeRaw	module	com.inductiveautomation.opcua.drivers.bacnet,com.inductiveautomation.opcua	
system.bacnet.writeRawMultiple	module	com.inductiveautomation.opcua.drivers.bacnet,com.inductiveautomation.opcua	
system.bacnet.writeWithPriority	module	com.inductiveautomation.opcua.drivers.bacnet,com.inductiveautomation.opcua	
system.config.copy	platform	-	
system.config.create	platform	-	
system.config.delete	platform	-	
system.config.getActiveMode	platform	-	
system.config.getModes	platform	-	
system.config.getResource	platform	-	
system.config.getResourceTypes	platform	-	
system.config.getResources	platform	-	
system.config.move	platform	-	
system.config.rename	platform	-	
system.config.replace	platform	-	
system.dataset.addColumn	platform	-	
system.dataset.addRow	platform	-	
system.dataset.addRows	platform	-	
system.dataset.appendDataset	platform	-	
system.dataset.clearDataset	platform	-	
system.dataset.dataSetToHTML	platform	-	
system.dataset.deleteRow	platform	-	
system.dataset.deleteRows	platform	-	
system.dataset.filterColumns	platform	-	
system.dataset.formatDates	platform	-	
system.dataset.fromCSV	platform	-	
system.dataset.getColumnHeaders	platform	-	
system.dataset.setValue	platform	-	
system.dataset.sort	platform	-	
system.dataset.toCSV	platform	-	
system.dataset.toDataset	platform	-	
system.dataset.toExcel	platform	-	
system.dataset.updateRow	platform	-	
system.date.addDays	platform	-	
system.date.addHours	platform	-	
system.date.addMillis	platform	-	
system.date.addMinutes	platform	-	
system.date.addMonths	platform	-	
system.date.addSeconds	platform	-	
system.date.addWeeks	platform	-	
system.date.addYears	platform	-	
system.date.daysBetween	platform	-	
system.date.format	platform	-	
system.date.fromMillis	platform	-	
system.date.getAMorPM	platform	-	
system.date.getDate	platform	-	
system.date.getDayOfMonth	platform	-	
system.date.getDayOfWeek	platform	-	
system.date.getDayOfYear	platform	-	
system.date.getHour12	platform	-	
system.date.getHour24	platform	-	
system.date.getMillis	platform	-	
system.date.getMinute	platform	-	
system.date.getMonth	platform	-	
system.date.getQuarter	platform	-	
system.date.getSecond	platform	-	
system.date.getTimezone	platform	-	
system.date.getTimezoneOffset	platform	-	
system.date.getTimezoneRawOffset	platform	-	
system.date.getYear	platform	-	
system.date.hoursBetween	platform	-	
system.date.isAfter	platform	-	
system.date.isBefore	platform	-	
system.date.isBetween	platform	-	
system.date.isDaylightTime	platform	-	
system.date.midnight	platform	-	
system.date.millisBetween	platform	-	
system.date.minutesBetween	platform	-	
system.date.monthsBetween	platform	-	
system.date.now	platform	-	
system.date.parse	platform	-	
system.date.secondsBetween	platform	-	
system.date.setTime	platform	-	
system.date.toMillis	platform	-	
system.date.weeksBetween	platform	-	
system.date.yearsBetween	platform	-	
system.db.addDatasource	platform	-	
system.db.beginNamedQueryTransaction	platform	-	
system.db.beginTransaction	platform	-	
system.db.clearQueryCache	platform	-	
system.db.closeTransaction	platform	-	
system.db.commitTransaction	platform	-	
system.db.createSProcCall	platform	-	
system.db.execQuery	platform	-	
system.db.execSProcCall	platform	-	
system.db.execScalar	platform	-	
system.db.execUpdate	platform	-	
system.db.execUpdateAsync	platform	-	
system.db.getConnectionInfo	platform	-	
system.db.getConnections	platform	-	
system.db.removeDatasource	platform	-	
system.db.rollbackTransaction	platform	-	
system.db.runPrepQuery	platform	-	
system.db.runPrepUpdate	platform	-	
system.db.runSFPrepUpdate	platform	-	
system.db.runScalarPrepQuery	platform	-	
system.db.setDatasourceConnectURL	platform	-	
system.db.setDatasourceEnabled	platform	-	
system.db.setDatasourceMaxConnections	platform	-	
system.device.addDevice	conditional	com.inductiveautomation.opcua	OPC UA base required; addDevice/device type may also require a driver module
system.device.getDeviceHostname	conditional	com.inductiveautomation.opcua	OPC UA base required; addDevice/device type may also require a driver module
system.device.listDevices	conditional	com.inductiveautomation.opcua	OPC UA base required; addDevice/device type may also require a driver module
system.device.refreshBrowse	conditional	com.inductiveautomation.opcua	OPC UA base required; addDevice/device type may also require a driver module
system.device.removeDevice	conditional	com.inductiveautomation.opcua	OPC UA base required; addDevice/device type may also require a driver module
system.device.restart	conditional	com.inductiveautomation.opcua	OPC UA base required; addDevice/device type may also require a driver module
system.device.setDeviceEnabled	conditional	com.inductiveautomation.opcua	OPC UA base required; addDevice/device type may also require a driver module
system.device.setDeviceHostname	conditional	com.inductiveautomation.opcua	OPC UA base required; addDevice/device type may also require a driver module
system.dnp.demandPoll	module	com.inductiveautomation.opcua.drivers.dnp3v2,com.inductiveautomation.opcua	
system.dnp.directOperateAnalog	module	com.inductiveautomation.opcua.drivers.dnp3v2,com.inductiveautomation.opcua	
system.dnp.directOperateBinary	module	com.inductiveautomation.opcua.drivers.dnp3v2,com.inductiveautomation.opcua	
system.dnp.freezeAnalogs	module	com.inductiveautomation.opcua.drivers.dnp3v2,com.inductiveautomation.opcua	
system.dnp.freezeAtTimeAnalogs	module	com.inductiveautomation.opcua.drivers.dnp3v2,com.inductiveautomation.opcua	
system.dnp.freezeAtTimeCounters	module	com.inductiveautomation.opcua.drivers.dnp3v2,com.inductiveautomation.opcua	
system.dnp.freezeClearAnalogs	module	com.inductiveautomation.opcua.drivers.dnp3v2,com.inductiveautomation.opcua	
system.dnp.freezeClearCounters	module	com.inductiveautomation.opcua.drivers.dnp3v2,com.inductiveautomation.opcua	
system.dnp.freezeCounters	module	com.inductiveautomation.opcua.drivers.dnp3v2,com.inductiveautomation.opcua	
system.dnp.selectOperateAnalog	module	com.inductiveautomation.opcua.drivers.dnp3v2,com.inductiveautomation.opcua	
system.dnp.selectOperateBinary	module	com.inductiveautomation.opcua.drivers.dnp3v2,com.inductiveautomation.opcua	
system.dnp.synchronizeTime	module	com.inductiveautomation.opcua.drivers.dnp3v2,com.inductiveautomation.opcua	
system.dnp3.directOperateAnalog	module	com.inductiveautomation.opcua.drivers.dnp3,com.inductiveautomation.opcua	
system.dnp3.directOperateBinary	module	com.inductiveautomation.opcua.drivers.dnp3,com.inductiveautomation.opcua	
system.dnp3.freezeAnalogs	module	com.inductiveautomation.opcua.drivers.dnp3,com.inductiveautomation.opcua	
system.dnp3.freezeAnalogsAtTime	module	com.inductiveautomation.opcua.drivers.dnp3,com.inductiveautomation.opcua	
system.dnp3.freezeCounters	module	com.inductiveautomation.opcua.drivers.dnp3,com.inductiveautomation.opcua	
system.dnp3.freezeCountersAtTime	module	com.inductiveautomation.opcua.drivers.dnp3,com.inductiveautomation.opcua	
system.dnp3.selectOperateAnalog	module	com.inductiveautomation.opcua.drivers.dnp3,com.inductiveautomation.opcua	
system.dnp3.selectOperateBinary	module	com.inductiveautomation.opcua.drivers.dnp3,com.inductiveautomation.opcua	
system.eam.getGroups	module	com.inductiveautomation.eam	
system.eam.queryAgentHistory	module	com.inductiveautomation.eam	
system.eam.queryAgentStatus	module	com.inductiveautomation.eam	
system.eam.runTask	module	com.inductiveautomation.eam	
system.eventstream.getDiagnostics	module	com.inductiveautomation.eventstream	
system.eventstream.listEventStreams	module	com.inductiveautomation.eventstream	
system.eventstream.publishEvent	module	com.inductiveautomation.eventstream	
system.file.fileExists	platform	-	
